,x,y,z,Name
168,24.086262,-24.98831,16.222858,Super 8
169,-2.004909,-22.364918,-23.248175,Cars
170,-32.91619,-39.090187,31.13334,Sleeping Beauty
171,-0.07627898,-30.423557,-5.878586,Avengers: Infinity War
172,11.538596,-30.249502,42.113785,Doctor Strange in the Multiverse of Madness
173,57.06949,-11.280124,24.720427,The Great Gatsby
174,51.527702,36.241875,22.75176,Wonder Woman 1984
175,-20.077454,-36.59211,-1.0275817,The Greatest Showman
176,24.670221,38.30839,1.4530197,Detachment
177,-21.217014,-8.403447,29.540052,Dungeons & Dragons
178,-4.41186,-28.758162,25.286264,1917
179,50.82541,10.0161085,8.788014,National Lampoon's Animal House
180,-23.015997,-48.611847,1.0625787,World War Z
181,3.5937304,-49.064312,35.8591,The Dark Knight Rises
182,-31.882458,10.79101,31.754412,The Grand Budapest Hotel
183,3.2101235,-5.413601,-14.022986,Dunkirk
184,22.947592,-51.95491,-30.440914,Star Wars: Episode IX - The Rise of Skywalker
185,20.958904,-21.020704,2.3251717,Eternals
186,29.823265,-24.083687,13.282055,The Martian
187,8.037434,26.34571,20.70614,"Lyle, Lyle, Crocodile"
188,10.489691,9.129817,26.218826,Rogue One
189,-32.332634,-31.59215,4.6046214,Blade Runner
190,21.68158,30.073837,41.977753,She's the Man
191,-0.82876915,-13.804796,17.68197,Pretty Baby
192,26.467556,-42.915447,30.09265,Deadpool
193,1.2871152,-48.762417,-27.693727,"Three Billboards Outside Ebbing, Missouri"
194,28.475763,5.32213,-50.453102,Jumanji: Welcome to the Jungle
195,3.9336047,19.106222,38.767643,Evil Dead
196,35.947643,-18.726257,2.5417576,We're the Millers
197,58.19449,-19.809599,16.27086,Hidden Figures
198,-14.24757,-50.14571,-18.035856,The King's Man
199,2.9934268,-24.027315,58.122635,Hacksaw Ridge
200,50.951565,39.687256,-22.62823,Ready or Not
201,58.230156,-31.477339,21.402283,Fantastic Beasts: The Secrets of Dumbledore
202,-20.14739,-11.022601,29.340149,The Lion King
203,5.873074,38.362152,-43.592377,Wo hu cang long
204,21.466974,-7.6035886,-46.574665,Wrath of Man
205,-21.982492,22.396482,36.170105,The Dreamers
206,47.37565,-3.1910627,-25.894415,Troy
207,-5.960784,-23.710852,-21.963259,Ford v Ferrari
208,31.88379,-27.293612,-16.25236,Arrival
209,1.7690299,-53.48013,43.13265,Twilight
210,-9.945451,-5.70084,35.68609,The Shining
211,71.939514,17.839811,0.6676273,Psycho
212,39.583427,13.899231,26.567371,Excalibur
213,22.787064,23.711508,6.915871,Superbad
214,44.074997,-27.641407,-23.900505,The Sixth Sense
215,32.754627,-27.7463,-17.260324,2001: A Space Odyssey
216,32.410362,-11.5535555,1.1480972,Nymphomaniac: Vol. I
217,18.376032,-26.964373,-9.552802,Beetle Juice
218,15.050752,-26.89765,23.144398,Braveheart
219,-40.802128,-15.594176,28.115194,The Big Lebowski
220,43.28975,5.801978,37.550297,Harry Potter and the Deathly Hallows: Part 2
221,-4.2145967,20.485994,-47.04578,Oldeuboi
222,2.5647337,-29.975853,-32.614697,A Clockwork Orange
